nohup: ignoring input
  candidates from 2014: 4000

pass 1: 2025 dump
    2M games scanned, 2028 kept, 1 min
    4M games scanned, 3686 kept, 3 min
    6M games scanned, 5270 kept, 4 min
    8M games scanned, 6385 kept, 5 min
    10M games scanned, 7319 kept, 7 min
    12M games scanned, 8133 kept, 9 min
    14M games scanned, 8787 kept, 11 min
    16M games scanned, 9432 kept, 12 min
    18M games scanned, 9903 kept, 13 min
    20M games scanned, 10354 kept, 14 min
    22M games scanned, 10743 kept, 15 min
    24M games scanned, 11089 kept, 16 min
    26M games scanned, 11416 kept, 17 min
    28M games scanned, 11652 kept, 18 min
    30M games scanned, 11887 kept, 19 min
    32M games scanned, 12098 kept, 20 min
    34M games scanned, 12287 kept, 21 min
    36M games scanned, 12421 kept, 22 min
    38M games scanned, 12589 kept, 23 min
    40M games scanned, 12723 kept, 24 min
    42M games scanned, 12871 kept, 25 min
    44M games scanned, 12977 kept, 26 min
    46M games scanned, 13123 kept, 27 min
    48M games scanned, 13270 kept, 28 min
    50M games scanned, 13357 kept, 29 min
    52M games scanned, 13426 kept, 30 min
    54M games scanned, 13489 kept, 31 min
    56M games scanned, 13549 kept, 32 min
    58M games scanned, 13625 kept, 32 min
    60M games scanned, 13737 kept, 33 min
    62M games scanned, 13810 kept, 34 min
    64M games scanned, 13917 kept, 35 min
    66M games scanned, 14053 kept, 36 min
    68M games scanned, 14132 kept, 39 min
    70M games scanned, 14230 kept, 40 min
    72M games scanned, 14328 kept, 41 min
    74M games scanned, 14385 kept, 42 min
    76M games scanned, 14460 kept, 43 min
    78M games scanned, 14544 kept, 44 min
    80M games scanned, 14600 kept, 45 min
    82M games scanned, 14677 kept, 46 min
    84M games scanned, 14730 kept, 47 min
    86M games scanned, 14770 kept, 48 min
    88M games scanned, 14822 kept, 49 min
    90M games scanned, 14894 kept, 50 min
    92M games scanned, 14983 kept, 51 min
    94M games scanned, 15036 kept, 52 min
    96M games scanned, 15094 kept, 53 min
  2025: scanned 97512351 games, kept 15121 from 636 players (53 min)
  survival: 636/4000 (15.9%)

pass 2: 2014 dump
  2014: scanned 795173 games, kept 17697 from 621 players (0 min)

  PLAYERS IN BOTH YEARS: 621
